PLACA,MARCA,MODELO,ANO_FAB
ABC-1234,FIAT,UNO,1999
ABC-4567,FORD,KA,2019
DEF-9999,RENAULT,DUSTER,2023
CDE-1111,VOLVO,FMX-1000,2020
CDE-2222,SCANIA,FH113,1999
AZY-2020,SCANIA,FH112,1995
AZY-2030,RENAULT,CLIO,2001
BEC-1000,MERCEDES,1620,2020
XYZ-1000,FORD,F4000,1999
PLQ-2000,CHEVROLET,CELTA,2005
FGH-9876,CHEVROLET,ONIX,2022
IJK-5432,VOLKSWAGEN,GOLF,2021
LMN-8765,TOYOTA,COROLLA,2020
OPQ-2345,FIAT,ARGO,2021
RST-7654,HONDA,CIVIC,2019
UVW-3210,FORD,RANGER,2023
XYZ-5678,JEEP,WRANGLER,2022
123-8901,RENAULT,KWID,2021
234-6789,NISSAN,SENTRA,2020
345-0123,MERCEDES,BENZ C180,2022
456-9012,BMW,X5,2021
567-3456,AUDI,A4,2020
678-7890,HYUNDAI,HB20,2023
789-1234,KIA,SPORTAGE,2022
890-4567,LEXUS,RX350,2021
